,0
0,40.47000122070313
1,40.79999923706055
2,38.52999877929688
3,38.58000183105469
4,38.27000045776367
5,38.47999954223633
6,38.66999816894531
7,38.20000076293945
8,38.0099983215332
9,37.0
10,36.9900016784668
11,36.560001373291016
12,36.5099983215332
13,36.349998474121094
14,37.27999877929688
15,36.95000076293945
16,36.900001525878906
17,37.22000122070313
18,36.93999862670898
19,37.22000122070313
20,37.15999984741211
21,36.95000076293945
22,36.83000183105469
23,37.06999969482422
24,36.810001373291016
25,36.7599983215332
26,36.75
27,37.310001373291016
28,37.900001525878906
29,37.150001525878906
30,36.77000045776367
31,36.95000076293945
32,37.0
33,36.63000106811523
34,36.68000030517578
35,37.099998474121094
36,37.4900016784668
37,38.52999877929688
38,38.4900016784668
39,39.04999923706055
40,38.4900016784668
41,37.97000122070313
42,38.15999984741211
43,38.15999984741211
44,38.349998474121094
45,38.400001525878906
46,38.02000045776367
47,38.63999938964844
48,38.54999923706055
49,38.849998474121094
50,39.68999862670898
51,36.849998474121094
52,37.0
53,36.38999938964844
54,36.22000122070313
55,36.58000183105469
56,35.86999893188477
57,36.16999816894531
58,36.5
59,36.63000106811523
60,37.61000061035156
61,38.13999938964844
62,37.43000030517578
63,37.47000122070313
64,36.61000061035156
65,36.599998474121094
66,36.790000915527344
67,36.38999938964844
68,36.29999923706055
69,35.45000076293945
70,35.189998626708984
71,35.130001068115234
72,35.90999984741211
73,36.040000915527344
74,36.540000915527344
75,37.38000106811523
76,37.13000106811523
77,37.099998474121094
78,37.68999862670898
79,37.5
80,37.36999893188477
81,37.7400016784668
82,38.20000076293945
83,37.91999816894531
84,37.540000915527344
85,36.9900016784668
86,36.97000122070313
87,36.9900016784668
88,36.22999954223633
89,34.18000030517578
90,35.36000061035156
91,35.40999984741211
92,34.93000030517578
93,34.330001831054695
94,34.27000045776367
95,34.110000610351555
96,34.549999237060554
97,34.72999954223633
98,34.669998168945305
99,34.86999893188477
100,34.950000762939446
101,34.75
102,34.630001068115234
103,34.59999847412109
104,34.330001831054695
105,34.34000015258789
106,35.0
107,35.40999984741211
108,36.63000106811523
109,36.77000045776367
110,36.31999969482422
111,36.36000061035156
112,36.0099983215332
113,35.970001220703125
114,37.97000122070313
115,38.83000183105469
116,38.11999893188477
117,37.88999938964844
118,37.9900016784668
119,38.13999938964844
120,37.79999923706055
121,38.22999954223633
122,38.61999893188477
123,38.5099983215332
124,37.95000076293945
125,38.33000183105469
126,38.0099983215332
127,37.790000915527344
128,37.88000106811523
129,37.900001525878906
130,38.08000183105469
131,38.22999954223633
132,37.900001525878906
133,37.54999923706055
134,37.84000015258789
135,38.13000106811523
136,38.060001373291016
137,38.31999969482422
138,37.79999923706055
139,38.02999877929688
140,39.0099983215332
141,39.20000076293945
142,38.72000122070313
143,39.0
144,39.52000045776367
145,39.31999969482422
146,38.849998474121094
147,38.61999893188477
148,38.84000015258789
149,38.83000183105469
150,38.599998474121094
151,37.900001525878906
152,36.86000061035156
153,37.02999877929688
154,37.349998474121094
155,37.060001373291016
156,36.709999084472656
157,35.59000015258789
158,35.90999984741211
159,36.22000122070313
160,36.45000076293945
161,36.68999862670898
162,36.0099983215332
163,36.34000015258789
164,35.349998474121094
165,35.470001220703125
166,35.5099983215332
167,35.4900016784668
168,35.40999984741211
169,34.580001831054695
170,34.59999847412109
171,34.169998168945305
172,34.450000762939446
173,35.630001068115234
174,35.849998474121094
175,35.56999969482422
176,35.2599983215332
177,35.59000015258789
178,35.4900016784668
179,35.5
180,35.72999954223633
181,35.79999923706055
182,36.0099983215332
183,36.61000061035156
184,37.0
185,37.849998474121094
186,38.13999938964844
187,38.310001373291016
188,39.70000076293945
189,39.25
190,39.29999923706055
191,39.459999084472656
192,39.349998474121094
193,39.43999862670898
194,39.27999877929688
195,39.349998474121094
196,39.41999816894531
197,39.65999984741211
198,39.68000030517578
199,39.27000045776367
200,39.13999938964844
201,39.810001373291016
202,39.61999893188477
203,39.77000045776367
204,39.77999877929688
205,40.06999969482422
206,40.540000915527344
207,40.95000076293945
208,41.0099983215332
209,41.52999877929688
210,41.81999969482422
211,42.08000183105469
212,41.63000106811523
213,42.20000076293945
214,41.86000061035156
215,41.810001373291016
216,42.25
217,41.900001525878906
218,42.13000106811523
219,42.16999816894531
220,42.459999084472656
221,42.45000076293945
222,42.56999969482422
223,42.95000076293945
224,43.16999816894531
225,43.52999877929688
226,43.41999816894531
227,43.61999893188477
228,44.22999954223633
229,44.7400016784668
230,43.79999923706055
231,44.04999923706055
232,43.790000915527344
233,43.18999862670898
234,43.04999923706055
235,43.11000061035156
236,43.22000122070313
237,42.93999862670898
238,43.2599983215332
239,41.95000076293945
240,40.90999984741211
241,42.25
242,42.18000030517578
243,42.47999954223633
244,42.2400016784668
245,41.900001525878906
246,41.43000030517578
247,42.02000045776367
248,42.41999816894531
249,43.02999877929688
