,0
0,40.44209
1,40.89688
2,39.655857
3,38.96717
4,38.617226
5,38.779915
6,38.79291
7,38.427048
8,38.701645
9,37.454628
10,37.066544
11,36.91236
12,36.81643
13,36.506813
14,36.684246
15,37.358486
16,37.21232
17,37.55
18,37.21533
19,37.108044
20,37.365467
21,36.967243
22,37.12491
23,37.17112
24,37.339508
25,37.31131
26,36.938366
27,37.254185
28,37.9968
29,37.452938
30,37.18857
31,37.06806
32,37.06924
33,36.939934
34,36.682888
35,37.154682
36,37.702602
37,38.504288
38,38.13229
39,39.121815
40,38.859993
41,38.52211
42,38.263668
43,38.218857
44,38.517776
45,38.485237
46,38.217186
47,38.842426
48,38.461292
49,38.912094
50,39.719086
51,38.097504
52,37.09294
53,36.881096
54,36.54492
55,36.741417
56,36.591183
57,36.335445
58,36.68544
59,36.79836
60,37.596676
61,38.077106
62,37.965366
63,37.559128
64,37.31607
65,37.05897
66,36.838596
67,36.759533
68,36.511402
69,35.99111
70,35.450485
71,35.480247
72,35.801163
73,36.23316
74,36.554214
75,36.64223
76,37.206184
77,37.4731
78,37.760616
79,37.68833
80,37.588623
81,37.986614
82,38.396427
83,38.080505
84,37.62279
85,37.288948
86,37.084934
87,37.29311
88,37.144154
89,35.086815
90,34.926823
91,35.59488
92,35.734238
93,34.766754
94,34.60905
95,34.494865
96,34.631523
97,34.868275
98,35.006397
99,35.055817
100,35.115513
101,35.130016
102,34.874527
103,34.882835
104,34.832333
105,34.702744
106,34.877785
107,35.474216
108,36.1795
109,36.85544
110,36.80643
111,36.58317
112,36.434593
113,36.50366
114,37.509922
115,38.868538
116,38.39438
117,38.125813
118,37.9998
119,38.220985
120,38.23531
121,38.1353
122,38.671993
123,38.58411
124,38.220783
125,38.521263
126,38.35074
127,38.040184
128,38.217175
129,38.212685
130,38.09953
131,38.400608
132,38.31422
133,37.95751
134,37.966156
135,38.230717
136,38.264904
137,38.347706
138,38.157257
139,38.089523
140,38.93322
141,39.2957
142,38.72095
143,39.033463
144,39.360638
145,39.522152
146,39.164867
147,38.838284
148,39.00368
149,39.122837
150,39.168976
151,38.260193
152,37.632267
153,37.013733
154,37.442715
155,37.3679
156,37.331734
157,36.38323
158,36.167274
159,36.236385
160,36.79345
161,36.919548
162,36.53963
163,36.476345
164,36.202255
165,35.67615
166,35.64658
167,35.679913
168,35.79317
169,35.121563
170,34.86511
171,34.50507
172,34.251926
173,35.40868
174,36.130856
175,35.985355
176,35.492466
177,35.656487
178,35.741062
179,35.6291
180,35.989548
181,36.059723
182,36.358837
183,36.71198
184,36.922504
185,37.800823
186,38.328487
187,38.46205
188,39.29891
189,39.572044
190,39.45645
191,39.565712
192,39.463684
193,39.51123
194,39.454315
195,39.65332
196,39.4879
197,39.70128
198,39.74003
199,39.588867
200,39.694748
201,39.600628
202,39.904736
203,39.787994
204,40.063133
205,40.00282
206,40.434486
207,40.709393
208,41.025333
209,41.502956
210,41.860672
211,42.13816
212,41.943066
213,42.21989
214,42.027977
215,42.034863
216,42.141914
217,42.201187
218,42.37569
219,42.550415
220,42.51192
221,42.771038
222,42.66111
223,42.819336
224,43.265553
225,43.469032
226,43.377487
227,43.554287
228,43.96424
229,44.422432
230,44.149513
231,43.31387
232,43.9969
233,43.54069
234,43.325634
235,43.14974
236,43.170036
237,43.306538
238,43.26504
239,43.307987
240,41.37488
241,41.60113
242,42.385986
243,42.151436
244,42.272785
245,42.085175
246,41.87022
247,41.95687
248,42.373344
249,42.762245
